title,MAL_id,type,studio,release-season,release-year,release-date,source-material,episodes,score,members,genres
Dekobou Shingachou: Meian no Shippai,23189,Movie,Unknown,winter,1917.0,,Original,1.0,5.38,1200.0,['Comedy']
Imokawa Mukuzo: Genkanban no Maki,17387,Movie,Unknown,winter,1917.0,,Original,1.0,5.38,876.0,['Comedy']
Namakura Gatana,6654,Movie,Unknown,spring,1917.0,,Original,1.0,5.53,7800.0,['Comedy']
Saru to Kani no Gassen,10742,Movie,Unknown,spring,1917.0,,Other,1.0,5.01,878.0,['Drama']
Imokawa Mukuzo: Chuugaeri no Maki,24577,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,456.0,['Comedy']
Yume no Jidousha,24575,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,453.0,[]
Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,23187,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,394.0,['Comedy']
Hanasaka Jijii,18457,Movie,Unknown,summer,1917.0,,Other,1.0,4.94,1000.0,"['Comedy', 'Drama']"
Neko to Nezumi,24573,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,408.0,['Comedy']
Itazura Post,23183,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,392.0,['Comedy']
Chamebou Kuukijuu no Maki,23185,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,375.0,['Comedy']
Kachikachi Yama,10757,Movie,Unknown,fall,1917.0,,Other,1.0,5.49,669.0,['Drama']
Shita-kiri Suzume,10756,Movie,Unknown,fall,1917.0,,Original,1.0,0.0,432.0,['Drama']
Chokin no Susume,23191,Movie,Unknown,fall,1917.0,,Original,1.0,0.0,404.0,['Comedy']
Otogi Banashi: Bunbuku Chagama,23181,Movie,Unknown,fall,1917.0,,Other,1.0,0.0,322.0,[]
Urashima Tarou (supposed title),7485,Movie,Unknown,winter,1918.0,,Other,1.0,4.72,2400.0,[]
Momotarou,10758,Movie,Unknown,winter,1918.0,,Original,1.0,5.75,569.0,['Drama']
Issunboushi,10760,Movie,Unknown,winter,1918.0,,Original,1.0,5.72,510.0,['Drama']
Kobutori,22511,Movie,Unknown,winter,1918.0,,Other,1.0,5.78,509.0,['Comedy']
Kintarou,10759,Movie,Unknown,winter,1918.0,,Original,1.0,0.0,412.0,['Drama']
Yukidaruma,30957,Movie,Unknown,winter,1918.0,,Original,1.0,0.0,387.0,['Fantasy']
Kaeru no Yume,49243,Movie,Unknown,winter,1918.0,,,1.0,0.0,43.0,[]
Ari to Hato,21761,Movie,Unknown,summer,1918.0,,Other,1.0,0.0,328.0,[]
Baguda-jou no Touzoku,28041,Movie,Unknown,fall,1926.0,,Original,1.0,5.07,1300.0,"['Adventure', 'Romance']"
Mikan-bune,7497,Movie,Unknown,winter,1927.0,,Other,1.0,4.74,1100.0,[]
Saru Kani Gassen (1927),35391,Movie,Unknown,spring,1927.0,,Other,1.0,5.42,839.0,['Drama']
Da Nao Hua Shi,43329,Movie,Unknown,spring,1927.0,,Original,1.0,0.0,83.0,['Comedy']
Tako no Hone,35492,Movie,Unknown,fall,1927.0,,Other,1.0,4.95,705.0,['Fantasy']
Chinsetsu Yoshida Goten,39083,Movie,Unknown,spring,1928.0,,Novel,1.0,0.0,228.0,[]
Doubutsu Olympic Taikai,7498,Movie,Unknown,summer,1928.0,,Original,1.0,5.48,1000.0,"['Comedy', 'Sports']"
Hanasaka Jiisan,30086,Movie,Unknown,summer,1928.0,,Other,1.0,4.87,987.0,"['Comedy', 'Drama']"
Bunbuku Chagama,24881,Movie,Unknown,summer,1928.0,,Other,1.0,0.0,396.0,[]
Kogane no Hana,28045,Movie,Unknown,winter,1929.0,,Original,1.0,4.8,908.0,"['Action', 'Adventure', 'Fantasy']"
Kaeru wa Kaeru,35491,Movie,Unknown,winter,1929.0,,Original,1.0,0.0,290.0,[]
Tarou-san no Kisha,5873,Movie,Unknown,spring,1929.0,,Original,1.0,5.44,1600.0,['Action']
Kobutori (1929),5875,Movie,Unknown,fall,1929.0,,Other,1.0,5.89,3000.0,['Comedy']
Oira no Yakyuu,5826,Movie,Unknown,winter,1930.0,,Original,1.0,5.39,1800.0,['Sports']
Kaumori,5631,Movie,Unknown,winter,1930.0,,Original,1.0,5.45,1400.0,['Drama']
Oira no Ski,23759,Movie,Unknown,winter,1930.0,,Original,1.0,5.14,881.0,"['Comedy', 'Sports']"
Entotsuya Peroo,15137,Movie,Unknown,spring,1930.0,,Original,1.0,5.46,497.0,[]
Osekisho,35390,Movie,Unknown,spring,1930.0,,Original,1.0,4.6,458.0,[]
Mura Matsuri,6769,Movie,Unknown,fall,1930.0,,Original,1.0,4.98,2100.0,[]
Kuro Nyago,4398,Movie,Unknown,winter,1931.0,,Original,1.0,5.38,3200.0,['Fantasy']
Saru Masamune,4391,Movie,Unknown,winter,1931.0,,Original,1.0,5.45,1600.0,['Adventure']
Nonsense Monogatari Dai Ippen: Sarugashima,28695,Movie,Unknown,winter,1931.0,,Original,1.0,5.19,889.0,['Adventure']
Kokka Kimigayo,4393,Movie,Unknown,spring,1931.0,,Original,1.0,4.85,1800.0,[]
Tanukichi no Ohanashi,35490,Movie,Unknown,spring,1931.0,,Original,1.0,0.0,276.0,['Fantasy']
Sora no Momotarou,4390,Movie,Unknown,fall,1931.0,,Original,1.0,5.11,1300.0,"['Adventure', 'Comedy']"
Umi no Momotarou,5661,Movie,Unknown,winter,1932.0,,Original,1.0,4.71,1300.0,[]
Ooatari Sora no Entaku,4392,Movie,Unknown,fall,1932.0,,Original,1.0,5.13,1000.0,['Comedy']
Hibari no Yadogae,5870,Movie,Unknown,winter,1933.0,,Original,1.0,4.85,1100.0,['Action']
Kaeru San Yuushi,28051,Movie,Unknown,winter,1933.0,,Original,1.0,4.55,776.0,"['Adventure', 'Comedy']"
Norakuro Nitouhei: Kyouren no Maki,5871,Movie,Unknown,spring,1933.0,,Manga,1.0,4.99,957.0,"['Action', 'Adventure']"
Norakuro Nitouhei: Enshuu no Maki,4395,Movie,Unknown,spring,1933.0,,Manga,1.0,5.04,893.0,['Adventure']
Chikara to Onna no Yo no Naka,7354,Movie,Unknown,spring,1933.0,,Original,1.0,0.0,533.0,[]
Ugokie Kori no Tatehiki,3929,Movie,Unknown,fall,1933.0,,Original,1.0,5.66,1300.0,"['Comedy', 'Supernatural']"
Numa no Taishou,28049,Movie,Unknown,fall,1933.0,,Original,1.0,4.97,593.0,"['Adventure', 'Comedy']"
Osaru no Tairyou,23267,Movie,Unknown,fall,1933.0,,Original,1.0,5.24,556.0,['Slice of Life']
Osaru no Sankichi: Totsugeki-tai,4397,Movie,Unknown,winter,1934.0,,Original,1.0,4.64,1200.0,[]
Norakuro Gochou,4394,Movie,Unknown,winter,1934.0,,Manga,1.0,5.06,1000.0,['Adventure']
Adauchi Karasu,35212,Movie,Unknown,winter,1934.0,,,1.0,0.0,325.0,[]
Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,6823,Movie,Unknown,spring,1934.0,,Other,1.0,4.71,1200.0,['Fantasy']
Tengu Taiji,6837,Movie,Unknown,spring,1934.0,,Original,1.0,5.07,1100.0,['Comedy']
Genroku Koi Moyou: Sankichi to Osayo,23265,Movie,Unknown,spring,1934.0,,Original,1.0,4.85,728.0,"['Adventure', 'Romance']"
Ponsuke no Haru,23089,Movie,Unknown,summer,1934.0,,Original,1.0,5.17,597.0,['Comedy']
Kachikachi Yama: Umi Yama-hen,33133,Movie,Unknown,summer,1934.0,,Other,1.0,0.0,299.0,['Fantasy']
Tsuki no Miya no Oujo-sama,15139,Movie,Unknown,fall,1934.0,,Original,1.0,5.39,437.0,[]
Taa-chan no Kaitei Ryokou,6834,Movie,Unknown,winter,1935.0,,Original,1.0,4.47,1100.0,['Adventure']
Chagama Ondo,17076,Movie,Unknown,winter,1935.0,,Original,1.0,4.93,1100.0,"['Comedy', 'Supernatural']"
Issunboushi: Chibisuke Monogatari,6836,Movie,Unknown,spring,1935.0,,Original,1.0,5.08,1100.0,['Action']
Umi no Mizu wa Naze Karai,6835,Movie,Unknown,summer,1935.0,,Original,1.0,5.7,1200.0,[]
Ari to Kaeru,36701,Movie,Unknown,summer,1935.0,,Original,1.0,0.0,248.0,[]
Ninjutsu Hinotama Kozou: Edo no Maki,6833,Movie,Unknown,fall,1935.0,,Original,1.0,4.06,1200.0,['Action']
Yowamushi Chinsengumi,24981,Movie,Unknown,fall,1935.0,,Original,1.0,0.0,322.0,['Comedy']
Izakaya no Ichiya,6829,Movie,Unknown,spring,1936.0,,Original,1.0,5.22,960.0,['Action']
Shinsetsu Kachikachi Yama,31912,Movie,Unknown,fall,1936.0,,Original,1.0,5.07,684.0,"['Action', 'Fantasy']"
Maabou no Shounen Koukuu Tsuwamono,7500,Movie,Unknown,fall,1937.0,,Original,1.0,0.0,352.0,[]
Sora no Arawashi,31948,Movie,Unknown,spring,1938.0,,Original,1.0,0.0,302.0,"['Action', 'Drama']"
Maabou no Kinoshita Toukichirou,6841,Movie,Unknown,fall,1938.0,,Original,1.0,5.07,1100.0,[]
Benkei tai Ushiwaka,12561,Movie,Unknown,summer,1939.0,,Other,1.0,5.29,1200.0,"['Action', 'Comedy']"
Kachikachi Yama (1940),33135,Movie,Unknown,winter,1940.0,,Other,1.0,0.0,296.0,['Fantasy']
Ochou Fujin no Gensou,28143,Movie,Unknown,spring,1940.0,,Other,1.0,5.61,808.0,['Drama']
Kintarou Taiiku Nikki,7501,Movie,Unknown,summer,1940.0,,Original,1.0,5.37,563.0,['Comedy']
Tie Shan Gongzhu,9521,Movie,Unknown,winter,1941.0,,Other,1.0,5.38,981.0,"['Action', 'Adventure', 'Fantasy']"
Kangaroo no Tanjoubi,6843,Movie,Unknown,winter,1941.0,,Original,1.0,5.29,976.0,['Adventure']
Fuku-chan no Kishuu,23969,Movie,Shochiku Animation Institute,winter,1942.0,,Other,1.0,0.0,413.0,['Comedy']
Spy Gekimetsu,27575,Movie,Unknown,summer,1942.0,,Original,1.0,0.0,453.0,[]
Momotarou no Umiwashi,6857,Movie,Unknown,winter,1943.0,,Original,1.0,4.9,1600.0,[]
Kumo to Tulip,3990,Movie,Shochiku Animation Institute,spring,1943.0,,Picture book,1.0,5.69,2000.0,['Adventure']
Fuku-chan no Zousan Butai,23971,Movie,Shochiku Animation Institute,summer,1943.0,,Other,1.0,0.0,341.0,['Comedy']
Malay Oki Kaisen,29782,Movie,Unknown,fall,1943.0,,Original,1.0,5.32,493.0,[]
Fuku-chan no Sensuikan,7523,Movie,Shochiku Animation Institute,fall,1944.0,,Other,1.0,5.02,715.0,['Comedy']
Momotarou: Umi no Shinpei,2765,Movie,Shochiku Animation Institute,spring,1945.0,,Original,1.0,5.18,2300.0,['Action']
Suteneko Tora-chan,5662,Movie,Unknown,summer,1947.0,,Original,1.0,5.74,1400.0,[]
Muku no Ki no Hanashi,29895,Movie,Unknown,summer,1947.0,,Original,1.0,5.6,372.0,[]
Tora-chan to Hanayome,12603,Movie,Unknown,winter,1948.0,,Original,1.0,5.61,1100.0,['Drama']
Kachikachi Yama no Shouboutai,30457,Movie,Unknown,winter,1948.0,,Music,1.0,0.0,374.0,['Comedy']
Poppoya-san: Nonki Ekichou,23633,Movie,Unknown,fall,1948.0,,Original,1.0,0.0,259.0,[]
Poppoya-san: Nonki Kikanshi,23635,Movie,Unknown,spring,1949.0,,Original,1.0,0.0,236.0,[]
Kitsune no Home Run Ou,28035,Movie,Unknown,summer,1949.0,,Original,1.0,5.12,490.0,['Sports']
Ousama no Shippo,7526,Movie,Unknown,fall,1949.0,,Original,1.0,0.0,383.0,['Fantasy']
Doubutsu Dai Yakyuu Sen,27577,Movie,Unknown,fall,1949.0,,Original,1.0,0.0,345.0,['Sports']
Kobito to Ao Mushi,23637,Movie,Unknown,fall,1950.0,,Original,1.0,0.0,269.0,[]
Ponsuke no Udekurabe,7527,Movie,Unknown,winter,1951.0,,Original,1.0,0.0,347.0,['Action']
Kujira (1952),7528,Movie,Unknown,fall,1952.0,,Original,1.0,5.1,1200.0,['Fantasy']
Mori no Ongakukai,7529,Movie,Unknown,winter,1953.0,,Original,1.0,0.0,396.0,['Comedy']
Ari to Hato (1953),21763,Movie,Unknown,summer,1953.0,,Other,1.0,0.0,285.0,[]
Kousagi Monogatari,23097,Movie,Unknown,winter,1954.0,,Original,1.0,0.0,259.0,['Comedy']
Kappa Kawatarou,23639,Movie,Unknown,spring,1954.0,,Original,1.0,5.58,397.0,['Supernatural']
Hana to Chou,7530,Movie,Unknown,fall,1954.0,,Original,1.0,5.06,846.0,['Fantasy']
Onbu Obake,7531,Movie,Unknown,fall,1955.0,,Original,1.0,0.0,378.0,['Supernatural']
Ukare Violin,23641,Movie,Unknown,fall,1955.0,,Original,1.0,0.0,250.0,['Fantasy']
Yuureisen,11447,Movie,Unknown,spring,1956.0,,Book,1.0,5.6,1800.0,['Supernatural']
Kuroi Kikori to Shiroi Kikori,7532,Movie,Unknown,summer,1956.0,,Original,1.0,6.15,752.0,['Fantasy']
Chibikuro Sambo no Tora Taiji,29947,Movie,Unknown,fall,1956.0,,Original,1.0,0.0,285.0,[]
Chibikuro Sambo to Futago no Otouto,29948,Movie,Unknown,winter,1957.0,,Original,1.0,0.0,258.0,[]
Ba Luo Bo,48979,Movie,Unknown,winter,1957.0,,Other,1.0,0.0,79.0,['Comedy']
Koneko no Rakugaki,6993,Movie,Toei Animation,spring,1957.0,,Original,1.0,5.76,1800.0,['Comedy']
Fushigi na Taiko,29919,Movie,Unknown,summer,1957.0,,Other,1.0,5.53,373.0,[]
Fukusuke,29923,Movie,Unknown,fall,1957.0,,Original,1.0,5.33,675.0,[]
Koguma no Koro-chan,9850,Movie,Unknown,winter,1958.0,,Other,1.0,5.55,633.0,[]
Yumemi Douji,29812,Movie,Unknown,spring,1958.0,,Original,1.0,5.52,433.0,['Drama']
Hakujaden,4513,Movie,Toei Animation,fall,1958.0,,Other,1.0,6.13,4900.0,"['Adventure', 'Fantasy', 'Romance']"
Chuumon no Ooi Ryouriten,7621,Movie,Unknown,fall,1958.0,,Book,1.0,5.53,1100.0,"['Fantasy', 'Horror', 'Supernatural']"
Mogura no Adventure,19125,Special,Unknown,fall,1958.0,,Original,1.0,4.72,630.0,['Adventure']
Hyoutan Suzume,16007,Movie,Unknown,winter,1959.0,,Original,1.0,5.57,511.0,['Fantasy']
Koneko no Studio,6994,Movie,Toei Animation,spring,1959.0,,Original,1.0,6.04,1500.0,['Comedy']
Ari to Hato (1959),21765,Movie,Gakken Eigakyoku,summer,1959.0,,Other,1.0,5.5,385.0,[]
Shounen Sarutobi Sasuke,4948,Movie,Toei Animation,fall,1959.0,,Original,1.0,5.97,1600.0,"['Adventure', 'Fantasy']"
Kozaru no Buranko,32626,Movie,Unknown,fall,1959.0,,Picture book,1.0,5.5,303.0,[]
3-tsu no Hanashi,8774,Special,Unknown,winter,1960.0,,Other,1.0,4.85,800.0,['Fantasy']
Kitakaze to Taiyou,32693,Movie,Unknown,spring,1960.0,,Other,1.0,0.0,284.0,[]
Saiyuuki,4481,Movie,Toei Animation,summer,1960.0,,Novel,1.0,6.27,2800.0,['Adventure']
Instant History,14211,TV (New),Unknown,spring,1961.0,,Original,312.0,6.15,753.0,[]
Instant History,14211,TV (Continuing),Unknown,summer,1961.0,,Original,312.0,6.15,753.0,[]
Anju to Zushioumaru,7610,Movie,Toei Animation,summer,1961.0,,Other,1.0,6.05,1900.0,['Fantasy']
Instant History,14211,TV (Continuing),Unknown,fall,1961.0,,Original,312.0,6.15,753.0,[]
Instant History,14211,TV (Continuing),Unknown,winter,1962.0,,Original,312.0,6.15,753.0,[]
Arabian Night: Sindbad no Bouken,7786,Movie,Toei Animation,spring,1962.0,,Book,1.0,5.45,1500.0,"['Action', 'Adventure', 'Fantasy']"
Tanoshii Bunmeishi: Tetsu Monogatari,23003,Movie,Toei Animation,spring,1962.0,,Original,1.0,0.0,319.0,['Slice of Life']
Otogi Manga Calendar,14213,TV (New),Unknown,summer,1962.0,,Original,312.0,6.11,607.0,[]
Mogura no Motoro,23005,Movie,Toei Animation,summer,1962.0,,,1.0,0.0,358.0,['Slice of Life']
Otogi no Sekai Ryokou,17675,Movie,Unknown,summer,1962.0,,,1.0,0.0,294.0,['Adventure']
Otogi Manga Calendar,14213,TV (Continuing),Unknown,fall,1962.0,,Original,312.0,6.11,607.0,[]
Aru Machi Kado no Monogatari,1497,Movie,Unknown,fall,1962.0,,Original,1.0,6.6,4000.0,"['Drama', 'Romance']"
Osu,1982,Movie,Mushi Production,fall,1962.0,,Original,1.0,5.21,3300.0,['Slice of Life']
Tetsuwan Atom,2747,TV (New),Mushi Production,winter,1963.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Otogi Manga Calendar,14213,TV (Continuing),Unknown,winter,1963.0,,Original,312.0,6.11,607.0,[]
Wanpaku Ouji no Orochi Taiji,3905,Movie,Toei Animation,winter,1963.0,,Original,1.0,6.3,2200.0,"['Adventure', 'Fantasy']"
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,spring,1963.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Otogi Manga Calendar,14213,TV (Continuing),Unknown,spring,1963.0,,Original,312.0,6.11,607.0,[]
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,summer,1963.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Otogi Manga Calendar,14213,TV (Continuing),Unknown,summer,1963.0,,Original,312.0,6.11,607.0,[]
Tetsujin 28-gou,2686,TV (New),Eiken,fall,1963.0,,Manga,96.0,6.39,2900.0,"['Adventure', 'Sci-Fi']"
Eightman,5052,TV (New),Nippon Animation,fall,1963.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
Sennin Buraku,8041,TV (New),Eiken,fall,1963.0,,4-koma manga,23.0,5.94,877.0,"['Comedy', 'Ecchi']"
Ookami Shounen Ken,17521,TV (New),Toei Animation,fall,1963.0,,,86.0,0.0,567.0,['Adventure']
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,fall,1963.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Otogi Manga Calendar,14213,TV (Continuing),Unknown,fall,1963.0,,Original,312.0,6.11,607.0,[]
Wan Wan Chuushingura,9228,Movie,Toei Animation,fall,1963.0,,,1.0,5.58,1000.0,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Ookami Shounen Ken (Movie),23007,Movie,Toei Animation,fall,1963.0,,,1.0,0.0,299.0,['Adventure']
0-sen Hayato,12763,TV (New),Unknown,winter,1964.0,,Manga,38.0,5.99,810.0,[]
Shisukon Ouji,19981,TV (New),Unknown,winter,1964.0,,Manga,14.0,0.0,350.0,['Adventure']
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,winter,1964.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Tetsujin 28-gou,2686,TV (Continuing),Eiken,winter,1964.0,,Manga,96.0,6.39,2900.0,"['Adventure', 'Sci-Fi']"
Eightman,5052,TV (Continuing),Nippon Animation,winter,1964.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
Sennin Buraku,8041,TV (Continuing),Eiken,winter,1964.0,,4-koma manga,23.0,5.94,877.0,"['Comedy', 'Ecchi']"
Otogi Manga Calendar,14213,TV (Continuing),Unknown,winter,1964.0,,Original,312.0,6.11,607.0,[]
Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,winter,1964.0,,,86.0,0.0,567.0,['Adventure']
Ookami Shounen Ken: Arabia no Kaijin - Ma no Iwa no Kettou,23009,Movie,Toei Animation,winter,1964.0,,,1.0,0.0,357.0,['Adventure']
Tetsujin 28-gou: Tanjou-hen,27993,Special,Eiken,winter,1964.0,,,1.0,0.0,435.0,"['Adventure', 'Sci-Fi']"
Big X,9613,TV (New),Tokyo Movie Shinsha,spring,1964.0,,Manga,59.0,6.09,996.0,"['Action', 'Sci-Fi']"
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,spring,1964.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Tetsujin 28-gou,2686,TV (Continuing),Eiken,spring,1964.0,,Manga,96.0,6.39,2900.0,"['Adventure', 'Sci-Fi']"
Eightman,5052,TV (Continuing),Nippon Animation,spring,1964.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
0-sen Hayato,12763,TV (Continuing),Unknown,spring,1964.0,,Manga,38.0,5.99,810.0,[]
Otogi Manga Calendar,14213,TV (Continuing),Unknown,spring,1964.0,,Original,312.0,6.11,607.0,[]
Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,spring,1964.0,,,86.0,0.0,567.0,['Adventure']
Kirin no Otenki Mama-san,30079,Special,Unknown,spring,1964.0,,Other,12.0,5.13,435.0,['Fantasy']
Shounen Ninja Kaze no Fujimaru,13307,TV (New),Toei Animation,summer,1964.0,,,65.0,5.74,891.0,"['Action', 'Adventure']"
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,summer,1964.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Tetsujin 28-gou,2686,TV (Continuing),Eiken,summer,1964.0,,Manga,96.0,6.39,2900.0,"['Adventure', 'Sci-Fi']"
Eightman,5052,TV (Continuing),Nippon Animation,summer,1964.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
Big X,9613,TV (Continuing),Tokyo Movie Shinsha,summer,1964.0,,Manga,59.0,6.09,996.0,"['Action', 'Sci-Fi']"
0-sen Hayato,12763,TV (Continuing),Unknown,summer,1964.0,,Manga,38.0,5.99,810.0,[]
Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,summer,1964.0,,,86.0,0.0,567.0,['Adventure']
Ningyo,2047,Movie,Mushi Production,summer,1964.0,,,1.0,6.35,3800.0,['Fantasy']
Memory,1984,Movie,Unknown,summer,1964.0,,Original,1.0,6.06,2800.0,['Mystery']
Tetsuwan Atom: Uchuu no Yuusha,10342,Movie,Mushi Production,summer,1964.0,,Original,1.0,6.28,1600.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Shounen Ninja Kaze no Fujimaru: Nazo no Arabiya Ningyou,19983,Movie,Toei Animation,summer,1964.0,,,1.0,0.0,385.0,"['Action', 'Adventure']"
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,fall,1964.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Tetsujin 28-gou,2686,TV (Continuing),Eiken,fall,1964.0,,Manga,96.0,6.39,2900.0,"['Adventure', 'Sci-Fi']"
Eightman,5052,TV (Continuing),Nippon Animation,fall,1964.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
Big X,9613,TV (Continuing),Tokyo Movie Shinsha,fall,1964.0,,Manga,59.0,6.09,996.0,"['Action', 'Sci-Fi']"
Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),Toei Animation,fall,1964.0,,,65.0,5.74,891.0,"['Action', 'Adventure']"
Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,fall,1964.0,,,86.0,0.0,567.0,['Adventure']
Uchuu Patrol Hopper,12897,TV (New),Toei Animation,winter,1965.0,,,44.0,0.0,547.0,['Sci-Fi']
Mirai Kara Kita Shounen Super Jetter,16159,TV (New),Unknown,winter,1965.0,,Original,52.0,0.0,487.0,"['Action', 'Comedy', 'Sci-Fi']"
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,winter,1965.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Tetsujin 28-gou,2686,TV (Continuing),Eiken,winter,1965.0,,Manga,96.0,6.39,2900.0,"['Adventure', 'Sci-Fi']"
Big X,9613,TV (Continuing),Tokyo Movie Shinsha,winter,1965.0,,Manga,59.0,6.09,996.0,"['Action', 'Sci-Fi']"
Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),Toei Animation,winter,1965.0,,,65.0,5.74,891.0,"['Action', 'Adventure']"
Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,winter,1965.0,,,86.0,0.0,567.0,['Adventure']
Gulliver no Uchuu Ryokou,2833,Movie,Toei Animation,winter,1965.0,,,1.0,5.8,1400.0,"['Adventure', 'Sci-Fi']"
Shin Takarajima,15823,Special,Mushi Production,winter,1965.0,,Novel,1.0,5.82,482.0,['Adventure']
Uchuu Ace,6989,TV (New),Tatsunoko Production,spring,1965.0,,,52.0,0.0,649.0,"['Action', 'Adventure', 'Sci-Fi']"
Uchuu Shounen Soran,12887,TV (New),Eiken,spring,1965.0,,,96.0,0.0,529.0,"['Action', 'Adventure', 'Sci-Fi']"
Dolphin Ouji,8879,TV (New),Unknown,spring,1965.0,,,3.0,0.0,415.0,"['Action', 'Adventure', 'Sci-Fi']"
Kaitou Pride,19987,TV (New),Unknown,spring,1965.0,,,105.0,0.0,314.0,"['Adventure', 'Comedy']"
Uchuujin Pipi,19985,TV (New),Unknown,spring,1965.0,,,52.0,0.0,287.0,[]
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,spring,1965.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Tetsujin 28-gou,2686,TV (Continuing),Eiken,spring,1965.0,,Manga,96.0,6.39,2900.0,"['Adventure', 'Sci-Fi']"
Big X,9613,TV (Continuing),Tokyo Movie Shinsha,spring,1965.0,,Manga,59.0,6.09,996.0,"['Action', 'Sci-Fi']"
Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),Toei Animation,spring,1965.0,,,65.0,5.74,891.0,"['Action', 'Adventure']"
Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,spring,1965.0,,,86.0,0.0,567.0,['Adventure']
Uchuu Patrol Hopper,12897,TV (Continuing),Toei Animation,spring,1965.0,,,44.0,0.0,547.0,['Sci-Fi']
Mirai Kara Kita Shounen Super Jetter,16159,TV (Continuing),Unknown,spring,1965.0,,Original,52.0,0.0,487.0,"['Action', 'Comedy', 'Sci-Fi']"
Wonder 3,4088,TV (New),Mushi Production,summer,1965.0,,,52.0,6.4,921.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Yuusei Shounen Papii,6448,TV (New),Eiken,summer,1965.0,,Original,52.0,5.68,779.0,"['Action', 'Sci-Fi']"
Obake no Q-tarou,1547,TV (New),Shin-Ei Animation,summer,1965.0,,Manga,96.0,6.09,709.0,"['Comedy', 'Slice of Life', 'Supernatural']"
Tetsuwan Atom,2747,TV (Continuing),Mushi Production,summer,1965.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Big X,9613,TV (Continuing),Tokyo Movie Shinsha,summer,1965.0,,Manga,59.0,6.09,996.0,"['Action', 'Sci-Fi']"
Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),Toei Animation,summer,1965.0,,,65.0,5.74,891.0,"['Action', 'Adventure']"
Uchuu Ace,6989,TV (Continuing),Tatsunoko Production,summer,1965.0,,,52.0,0.0,649.0,"['Action', 'Adventure', 'Sci-Fi']"
Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,summer,1965.0,,,86.0,0.0,567.0,['Adventure']
Uchuu Patrol Hopper,12897,TV (Continuing),Toei Animation,summer,1965.0,,,44.0,0.0,547.0,['Sci-Fi']
Uchuu Shounen Soran,12887,TV (Continuing),Eiken,summer,1965.0,,,96.0,0.0,529.0,"['Action', 'Adventure', 'Sci-Fi']"
